Matricula,Temporada,Embarcacion,Armador,casco,tipo_presevacion,eslora,potencia_motor,capbod_m3,numowned
CO-23104-CM,2019-I,MODESTO,CI?RA PARDO DANIELA ISABEL ;CI?RA PARDO MATIAS EDUARDO ;CI?RA PARDO NICOLAS MATEO ;CI?RA SALAZAR ROSA IVETTE ;CI?RA ZEGARRA ROSA MARIA,MADERA,N/P,21.82999992,360,108.51,2
PS-11080-PM,2019-I,TASA 411,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,38.75,895.2,442.52,48
CE-18002-PM,2019-I,BAMAR IV,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,50.31999969,1716,500.66,19
CE-4829-PM,2019-I,CLAUDIA,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.83000183,900,362,23
CE-21701-CM,2019-I,VELA I,PESQUERA MAZE S.R.L.,ACERO NAVAL,N/P,20.62000084,285,110.24,1
PT-02461-PM,2019-I,TASA 210,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.60000038,373,287.68,48
PT-4242-CM,2019-I,MI CONSUELO,CONSORCIO MUZA S.A.C,MADERA,N/P,14.96000004,440,109.4,6
PS-22771-PM,2019-I,TASA 425,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,43.91999817,900,403.69,48
HO-4875-PM,2019-I,COQUI II,PESQUERA NINFAS DEL MAR S.A.C.,ACERO NAVAL,N/P,25.39999962,467,193.08,3
CO-22658-PM,2019-I,STEFANO,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,46.41999817,1491,503.2,29
CO-0393-PM,2019-I,SANTA ROSA,PESQUERA TEVIMAR S.A.,ACERO NAVAL,N/P,31.61000061,448,244.75,5
PT-16862-CM,2019-I,LILIANA,ORGULLO DEL MAR S.A.C.,MADERA,CAJ/HIE,19.01000023,240,102.53,1
CO-11074-PM,2019-I,COQUI XII,PESQUERA ISA S.R.L.,ACERO NAVAL,N/P,31.26000023,450,292.4,4
CO-9908-PM,2019-I,ESTELA DE PLATA II,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,45.20000076,1200,430.51,20
IO-2394-PM,2019-I,CARMEN JUDITH 4,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,25.799999239999998,380.36,205.53,5
PL-28538-PM,2019-I,ROSA MARIA MS-4,EMPRESA PESQUERA SANTA LUCIA S.A.C.,MADERA,N/P,18.950000760000002,365,88.33,2
PL-5297-CM,2019-I,ROSA AMELIA 1,LLENQUE JACINTO JOSE MARIANO,MADERA,CAJ/HIE,14.02000046,180,35,2
CO-17299-PM,2019-I,TASA 420,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,43.25,1200,473.13,48
PL-50967-CM,2019-I,MARLENY MARITZA,LLENQUE FIESTAS DARIO,MADERA,N/P,16.299999239999998,210,33,2
CO-11071-PM,2019-I,COQUI IX,PESQUERA ISA S.R.L.,ACERO NAVAL,N/P,31.19000053,450,196.51,4
CE-2410-PM,2019-I,GAVILAN,PESQUERA DO? CAROLINA S.A.,ACERO NAVAL,N/P,36.59999847,537,374.47,2
CO-22308-PM,2019-I,POLAR IV,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,43.63999939,1193.12,450,29
CO-28711-PM,2019-I,CHIRA I,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,32.79999924,775,194.52,19
CO-6255-PM,2019-I,ESTELA DE PLATA,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,44.49000168,839,369.1,20
PL-35001-PM,2019-I,MI FE EN CRISTO 4,BERNAL LLONTOP FELIPE ;BERNAL LLONTOP HECTOR ;BERNAL LLONTOP LORENZO NICOLAS ;LEYTON CHANAME MARIA ANTONIA ;PALMA DE BERNAL MARIA LUCILA,MADERA,N/P,22,510,75.32,2
CE-0216-PM,2019-I,GRUPEZ,GRUPO PESQUERO S.A.C.,ACERO NAVAL,N/P,27.18000031,442,192.01,5
PT-13533-PM,2019-I,SECHURA,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,34.59999847,600,352.81,19
CO-16854-PM,2019-I,TIBURON 7,PESQUERA CARAL S.A.,ACERO NAVAL,RSW,39.29999924,857.6,438.48,3
CO-20863-PM,2019-I,OLGA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,45.13999939,1491,538.01,29
CO-21706-CM,2019-I,SALVADOR I,SALVADOR ZA FISHING S.A.C.,MADERA,N/P,21.71999931,380,92,2
CO-29600-PM,2019-I,JAVIER,PESQUERA TEVIMAR S.A.,ACERO NAVAL,N/P,37,1000,288.04,5
CO-15724-PM,2019-I,MALENA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,62,3070,867.17,20
PL-18086-CM,2019-I,MI FLORITA,CUSTODIO CONDOY SANTOS DOMINGA ;FIESTAS DE JACINTO MARIA ANGELITA ;FIESTAS PUESCAS ESTHER GLADYS ;GALAN CURO JUANA FRANCISCA ;JACINTO FIESTAS ESTEBAN ;JACINTO FIESTAS FERMIN ;JACINTO FIESTAS JOSE GABRIEL ;JACINTO FIESTAS MANUEL ;JACINTO FIESTAS M,MADERA,CAJ/HIE,13.30000019,220,35.5,1
PL-14043-CM,2019-I,RIVERA I,ACOSTA RIVERA ALEJANDRO ;CHANCAFE MOLOCHE MARIA GUADALUPE,MADERA,CAJ/HIE,13.69999981,238,38.26,1
PL-18108-CM,2019-I,JESUS EN TI CONFIO,ARROYO CHANCAFE MANUEL ;BERNAL OROSCO VIOLETA,MADERA,CAJ/HIE,19.200000760000002,240,81.43,2
PS-0614-PM,2019-I,DON ALONSO,PESQUERA DO? CAROLINA S.A.,ACERO NAVAL,N/P,30.18000031,402.67,276.11,2
PL-2734-CM,2019-I,DON JUAN,FIESTAS FIESTAS SIXTO SEGUNDO,MADERA,CAJ/HIE,18.5,265,51.7,1
CE-10474-PM,2019-I,SAN ANTONIO III,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,39.40000153,1000,331.38,19
PL-15503-CM,2019-I,EL VENTARRON 3,FIESTAS DE MARTINEZ PILAR SOLEDAD ;FIESTAS JACINTO LUZ CARMELA ;GALAN GONZALES ISABEL CRISTINA ;MARTINEZ ROBLES ANDRES ABELINO ;MARTINEZ ROBLES FELIPE MARIO ;MARTINEZ ROBLES JOSE VALERIANO ;MARTINEZ ROBLES JUAN ROSALINO ;RAMIREZ JACINTO BERTHA ISA,MADERA,CAJ/HIE,14.100000380000001,240,37.86,2
PL-29632-PM,2019-I,DON JUAN,FIESTAS FIESTAS WALTER VALENTIN,MADERA,N/P,17,351,60.56,1
CE-20735-PM,2019-I,JADRAN II,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,37.25999832,701.24,327.98,27
CO-9968-CM,2019-I,AREQUIPA,PESQUERA FLORENCIA S.A.,ACERO NAVAL,N/P,20.049999239999998,240,49.97,1
CO-2011-PM,2019-I,SK 5,PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,28.63999939,510,214.93,5
PL-4335-PM,2019-I,MI JUANITA,IPANAQUE OROSCO ISRAEL ABIMAEL,MADERA,CAJ/HIE,20.299999239999998,380,109.88,5
PL-2270-CM,2019-I,DELFIN 2,FIESTAS JACINTO CARLOS ALBERTO ;FIESTAS JACINTO ESTEBAN ;FIESTAS JACINTO MAGUIN ;FIESTAS JACINTO ROMAN MACARIO ;FIESTAS JACINTO SEBASTIAN ;FIESTAS JACINTO URCINO,MADERA,CAJ/HIE,12.80000019,74.57,40.66,1
CO-11842-CM,2019-I,DON MAÑUCO,EMPRESA PESQUERA JOSE ANTONIO S.A.C.,ACERO NAVAL,N/P,25.47999954,540,169,1
CO-50608-PM,2019-I,DON OLE,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,60.5,3951,1080,20
CO-2771-CM,2019-I,SAN JUAN,GRUPO PESQUERO S.A.C.,ACERO NAVAL,N/P,22.86000061,268,160.94,5
PL-18661-CM,2019-I,ANA ROSA,CORPORACION DON JULIO S.A.C.,MADERA,CAJ/HIE,17.60000038,175,65.24,1
PL-21043-PM,2019-I,DON MARTIR,CORPORACION GAT S.A.C.,MADERA,CAJ/HIE,21,365,110,4
PL-10603-CM,2019-I,MI ALFREDO,FIESTAS FIESTAS CARLOS ZACARIAS ;FIESTAS FIESTAS JOSE,MADERA,CAJ/HIE,14.80000019,150,50.94,1
PL-27950-PM,2019-I,MI JOSE LUIS Nº 2,EFFIO SUCLUPE GRICELDA ;SUCLUPE DE BANCES MARIA JUANA ;SUCLUPE DE HUAMANCHUMO NELY ;SUCLUPE TEJADA CARMEN ROSA ;SUCLUPE TEJADA GEORGINA ;SUCLUPE TEJADA JOSE DE LA ROSA ;SUCLUPE TEJADA LUIS MIGUEL ;SUCLUPE TEJADA MARCELA ;SUCLUPE TEJADA MARIA SANT,MADERA,N/P,21,540,105.83,2
CO-13721-PM,2019-I,NUEVA OFELITA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,39.83000183,790.44,440.64,20
CO-43668-PM,2019-I,TEO,PESQUERA TEVIMAR S.A.,ACERO NAVAL,N/P,37,1000,296.51,5
CO-23142-PM,2019-I,MI FELICITA 3,CORPORACION NUNTON S.A.C,MADERA,CAJ/HIE,17.04000092,409,83.47,2
CE-11569-PM,2019-I,RIBAR XIV,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,39.20000076,894.8,409.7,27
PL-19882-CM,2019-I,MI NAZARENO,CHIRINOS BERNAL JUAN ALBERTO ;OBREGON GUTIERREZ DE CHIRINOS JULIA ADELAIDA,MADERA,CAJ/HIE,13.94999981,180,34.66,1
HO-18316-CM,2019-I,NEPTUNIA,PESQUERA ZEMAR S.A.C.,MADERA,CAJ/HIE,19.5,238,76.76,2
PS-0575-PM,2019-I,BELEN 1,PESQUERA LAVIANA S.A.C.,ACERO NAVAL,N/P,32.09999847,705,207.03,2
CE-4826-PM,2019-I,CAJAMARCA 6,INVERSIONES ECCOLA S.A.C.,ACERO NAVAL,N/P,37.86000061,790.44,395.14,3
PL-3533-CM,2019-I,MI BARTOLITA,FIESTAS DE PUESCAS CONCEPCION ;PUESCAS GALAN JUAN CANCIO,MADERA,CAJ/HIE,15.80000019,250,36,1
IO-2393-PM,2019-I,CARMEN JUDITH 3,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,25.39999962,380.36,193.45,5
CO-21015-PM,2019-I,MIGUELINA,PESQUERA ZEMAR S.A.C.,MADERA,CAJ/HIE,20.55999947,279.49,100,2
HO-11293-CM,2019-I,ATUN,LOS CARLOS S.R.L.,MADERA,N/P,19.57999992,283.58,107.61,2
PL-40880-PM,2019-I,MI MAXIMINA,INVERSIONES WALTER HERNAN S.A.C,MADERA,N/P,20,185,99.49,1
PL-4156-CM,2019-I,MARIA LUZ,PESQUERA EXALMAR S.A.A.,MADERA,CAJ/HIE,19.80999947,180,109.99,23
PL-43113-PM,2019-I,VIRGEN DE CHAPI 2,GRUPO NUNTON S.A.C.,MADERA,N/P,20.70999908,450,109.74,2
PL-18032-CM,2019-I,MI LAURITA,FIESTAS DE MARTINEZ PILAR SOLEDAD ;FIESTAS JACINTO LUZ CARMELA ;GALAN GONZALES ISABEL CRISTINA ;MARTINEZ ROBLES ANDRES ABELINO ;MARTINEZ ROBLES FELIPE MARIO ;MARTINEZ ROBLES JOSE VALERIANO ;MARTINEZ ROBLES JUAN ROSALINO ;RAMIREZ JACINTO BERTHA ISA,MADERA,CAJ/HIE,14,140,33.19,2
CO-10449-PM,2019-I,CORINTIA,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,N/P,31.10000038,565,205.2,11
PL-2703-CM,2019-I,MI TEODORA,CORPORACION GAT S.A.C.,MADERA,N/P,20,455,104.42,4
PL-10602-PM,2019-I,JOSE LUIS,EFFIO SUCLUPE GRICELDA ;SUCLUPE DE BANCES MARIA JUANA ;SUCLUPE DE HUAMANCHUMO NELY ;SUCLUPE TEJADA CARMEN ROSA ;SUCLUPE TEJADA GEORGINA ;SUCLUPE TEJADA JOSE DE LA ROSA ;SUCLUPE TEJADA LUIS MIGUEL ;SUCLUPE TEJADA MARCELA ;SUCLUPE TEJADA MARIA SANT,MADERA,CAJ/HIE,21,365,94.96,2
PL-022068-CM,2019-I,VIRGEN DE CHAPI,CORPORACION NUNTON S.A.C,MADERA,N/P,17.25,365,70.69,2
CO-11509-PM,2019-I,FRANCESCA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,38.36999893,708,380.01,29
CO-18644-PM,2019-I,MARINA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,54.29999924,1300,437.5,20
CO-16680-PM,2019-I,AURELIA,PESQUERA Z Y T S.A.C.,ACERO NAVAL,N/P,27.200000760000002,540,170.38,3
TA-21061-PM,2019-I,MI JUANITA,ALVAREZ ECHE PABLO ;AMAYA MORALES ESPERANZA DEL PILAR,MADERA,N/P,17.14999962,380,109.21,2
HO-10851-PM,2019-I,TASA 415,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,38.75,1200,435.13,48
PL-19895-CM,2019-I,MI ELVIS 2,CORPORACION GAT S.A.C.,MADERA,CAJ/HIE,14.600000380000001,180,59.97,4
CE-21260-PM,2019-I,ALEJANDRIA I,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,39.25,676,375.6,20
CO-18818-PM,2019-I,BRUNELLA II,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,39,960,404.41,27
CE-13680-PM,2019-I,IVANA B,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,44.5,1305,489.7,19
CO-16681-PM,2019-I,CONSTANZA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,46.27000046,1075,530.65,29
PS-6408-PM,2019-I,ALBATROS,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,32.59999847,503.55,290.23,10
PT-12171-CM,2019-I,SANTO TORIBIO I,MARIN TABOADA JUAN MIGUEL,MADERA,CAJ/HIE,11.77000046,177,33.74,1
TA-5247-CM,2019-I,JOSE Y MARIA,COMERCIALIZADORA PESQUERA S & M S.A.C.,MADERA,CAJ/HIE,15.85999966,238,99.86,3
IO-11723-PM,2019-I,TASA 23,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.049999239999998,421.5,321.64,48
CE-38247-PM,2019-I,INCAMAR 2,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,77,1730,806.68,27
CO-16079-PM,2019-I,RIBAR IX,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,58.18999863,1600,586.64,27
PL-20645-CM,2019-I,DAVID ALONSO II,PESQUERA DACON S.A.C.,MADERA,CAJ/HIE,14.52000046,220,39.34,3
CO-23225-PM,2019-I,GRACIELA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,43.49000168,1450,379.08,29
CE-2485-PM,2019-I,SIMY 7,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,34,633.84,350,20
PL-5496-CM,2019-I,ROSA LILA N°2,CASTRO DE PALMA MARIA MICAELA ;PALMA CARRILLO RICARDO ;PALMA CARRILLO SEGUNDO ALBERTO,MADERA,CAJ/HIE,12.100000380000001,180,39,1
CO-16662-PM,2019-I,MARIANA B,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,42.45000076,968,439.65,19
PL-18113-CM,2019-I,SAN MARTIN DE PORRAS,LLENQUE JACINTO JOSE MARIANO,MADERA,CAJ/HIE,15.19999981,365,38.41,2
PL-4341-CM,2019-I,DON SEBASTIAN II,GALAN DE LLENQUE ROMULA ;LLENQUE FIESTAS BENJAMIN ;LLENQUE FIESTAS LUIS ;MARTINEZ QUEREBALU MARIA AGUSTINA,MADERA,N/P,13.55000019,142,33.73,2
PL-17770-CM,2019-I,MI MARYURI,BERNAL PALMA ELVIS JAMES,MADERA,CAJ/HIE,14.94999981,165,36.99,1
CO-16324-PM,2019-I,RICARDO,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,47.40999985,1060,414.19,27
CO-12232-PM,2019-I,JUANCHO,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,39.77000046,790,436.31,20
CE-13917-PM,2019-I,C&Z 7,PESQUERA JADA S.A.,ACERO NAVAL,N/P,33.65000153,596.8,355.38,5
CE-2413-PM,2019-I,CALAMAR,PESQUERA LUISA S.A.,ACERO NAVAL,N/P,36.59999847,537,373.43,2
CO-2772-PM,2019-I,SK 4,PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,29,300,208.53,5
CE-4052-PM,2019-I,COMANCHE II,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,35.56999969,600,314.75,20
CO-19978-CM,2019-I,LUKINA,QUEVEDO VASQUEZ CARLOS MEDARDO ;ZULOETA GALLO HILDA TERESA,MADERA,N/P,19.5,164.05,108.99,1
PL-19821-CM,2019-I,DON SEBASTIAN 3,LLENQUE FIESTAS BENJAMIN ;LLENQUE FIESTAS LUIS,MADERA,CAJ/HIE,16.10000038,300,39.99,1
CE-1887-PM,2019-I,C&Z 3,PESQUERA JADA S.A.,ACERO NAVAL,N/P,32.41999817,447.2,259.67,5
CO-21067-PM,2019-I,SANTA ISABEL I,PRODUCTOS MARINOS DEL SANTA S.R.L.,MADERA,N/P,20.06999969,540,108,1
CO-22295-PM,2019-I,ALESSANDRO,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,43.22000122,1081.25,450,29
CO-16948-PM,2019-I,ROSA II,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,39.75,790,441.2,20
CE-29416-PM,2019-I,MACABI 10,RH ADMINISTRACIONES S.A.,ACERO NAVAL,N/P,44.95999908,NA,289.33,4
PT-50178-PM,2019-I,ISABELLA,INVERSIONES PESQUERAS ISABELLA S.R.L.,MADERA,N/P,23.799999239999998,535,110,1
PL-13069-CM,2019-I,MI DELFINITA,EMPRESA PESQUERA CD E.I.R.L.,MADERA,CAJ/HIE,13.77999973,218,33.62,1
CE-18503-PM,2019-I,PALMAR-2,INVERSIONES Y SERVICIOS ARIANA E.I.R.L.,MADERA,CAJ/HIE,21.25,540,109,1
CE-38248-PM,2019-I,INCAMAR 3,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,77,1730,800,27
CO-11346-PM,2019-I,LUIS ALBERTO,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,25.87999916,380.3,206.62,10
CE-0240-PM,2019-I,MACABI 1,RH ADMINISTRACIONES S.A.,ACERO NAVAL,N/P,33,447.6,265.56,4
PL-19018-CM,2019-I,SINDY MABEL,BERNAL LLONTOP RAMOS,MADERA,CAJ/HIE,12.56000042,135,37.3,2
PL-29219-CM,2019-I,MI ANDREITA,GRUPO NUNTON S.A.C.,MADERA,NA,17.28000069,380,43.81,2
PL-12082-CM,2019-I,SABINA BEATRIZ Nº3,PANTA OROSCO WILMER MANUEL,MADERA,CAJ/HIE,11.850000380000001,180,33,2
CE-2888-PM,2019-I,PISCO 1,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,42.59999847,1075,368.39,29
PL-19017-CM,2019-I,MARIA RICARDINA 2,CORPORACION DBALPI SAC,MADERA,CAJ/HIE,12.649999619999999,210,60.23,1
CE-0236-PM,2019-I,GIANNINA I,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,35.95999908,735,399.23,29
CO-12234-PM,2019-I,CASACA,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,40,790.44,520.77,20
IO-10437-PM,2019-I,CARMEN JUDITH 1,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,31.09000015,337.01,296.39,5
PL-4370-CM,2019-I,MARIA MERCEDES IV,MARIA MERCEDES JRS E.I.R.L.,MADERA,N/P,15.31999969,280,71.74,1
CO-18318-PM,2019-I,SANTA ISABEL,EMPRESA PESQUERA JESUS ELIZABETH S.R.L.,MADERA,CAJ/HIE,16.76000023,380,106.18,1
CO-19554-PM,2019-I,ROSA ISABEL,EMPRESA PESQUERA ROSA ISABEL S.R.L.,MADERA,CAJ/HIE,19.89999962,455,105.99,1
PL-20292-CM,2019-I,MI ABRAHAM,LLONTOP EFFIO BERTHA LUCY ;TEJADA BANCES MAXIMINO,MADERA,CAJ/HIE,15.06000042,180,33.07,1
PL-5982-CM,2019-I,SANTA MARIA 2,ARROYO CASTRO ISIDRO ;ARROYO CASTRO JOSE ZOLANO ;ARROYO CASTRO MARCELINO ;ARROYO CASTRO MARIANO ;ARROYO CASTRO VALENTIN ;HUAMANCHUMO BERNAL MARIA SANTOS ;HUAMANCHUMO SALAZAR GLADYS ;LUMBRES SANTISTEBAN MARGARITA ;PALMA DE ARROYO RENE ;REQUE CAYLE,MADERA,CAJ/HIE,13.43000031,120,35.09,2
PL-51192-PM,2019-I,MANUEL I,GRUPO PESQUERO CHIMBOTE S.A.C.,MADERA,N/P,18.89999962,360,100,1
CO-17082-PM,2019-I,PAULA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,38.5,783.3,400.43,29
CO-12073-PM,2019-I,HALCON,LOS HALCONES S.A.,ACERO NAVAL,N/P,32.29999924,578,287.36,4
TA-38987-PM,2019-I,MERCEDES ISABEL,INVERSIONES DEL MAR CHICAMA S.R.L.,MADERA,N/P,22.55999947,600,100.89,1
PT-6531-PM,2019-I,TASA 31,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,33.54999924,447.42,321.5,48
PT-18707-PM,2019-I,DON TEOFILO,ECA DE TUME MARIA CRISTINA ;TUME MORALES FELIPE,MADERA,CAJ/HIE,18,380,95.57,2
PL-18514-CM,2019-I,ASMAR I,CORPORACION PESQUERA ERMA S.A.C.,MADERA,CAJ/HIE,17.93000031,240,105.67,3
CE-2886-PM,2019-I,COMANCHE V,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,36.20999908,633.8,275,20
CE-0065-PM,2019-I,TAMBO I,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,37.29000092,269,268.72,20
CO-12186-PM,2019-I,DON LUIS,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,40,790.42,508.49,20
PL-20745-PM,2019-I,MARIA PIA,VIMALCA E.I.R.L.,MADERA,CAJ/HIE,20.70999908,540,99,1
PL-11901-CM,2019-I,JUAN PABLO 2,GRUPO VIMALCA S.A.C.,MADERA,CAJ/HIE,17.39999962,365,38,1
PL-10601-CM,2019-I,DAVID ALONSO,PESQUERA DACON S.A.C.,MADERA,CAJ/HIE,13.47000027,320,33.99,3
PL-2266-CM,2019-I,ROSA MARIA,FIESTAS CURO MARCIAL ;PANTA MARTINEZ MANUEL ;PANTA PUESCAS JUAN,MADERA,CAJ/HIE,14.399999619999999,280,53.74,2
CE-10827-PM,2019-I,AGUILA,LOS HALCONES S.A.,ACERO NAVAL,N/P,31.09000015,410.3,288.27,4
PL-6558-CM,2019-I,ROSA MAXIMINA,BANCES GUEVARA HECTOR GERMAN ;LANGE ZULEMA BEATRIZ,MADERA,CAJ/HIE,13.399999619999999,140,35.3,1
CO-20667-PM,2019-I,SIMY 2,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,38.65000153,895,323.44,20
PL-19023-CM,2019-I,DIOS ES AMOR,ACOSTA PINGO ESTEBAN ;FIESTAS DE ACOSTA ISABEL,MADERA,CAJ/HIE,15,180,36.01,1
PL-17597-CM,2019-I,SAN JUAN BAUTISTA 3,AUROMAR S.A.C.,MADERA,CAJ/HIE,20.700000760000002,510,105.85,4
CO-5300-PM,2019-I,ATLANTICO I,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,43,634,399.13,10
CE-5850-PM,2019-I,YOVANA,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,37.11999893,537,242.03,27
IO-0955-PM,2019-I,CARMEN JUDITH 5,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,33.00999832,357.94,281.66,5
CO-17362-PM,2019-I,RIBAR XVIII,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,46,1051,576.86,27
PT-3937-CM,2019-I,JOSE OTILIO II,FIESTAS QUEREVALU MIGUEL ANGEL ;FIESTAS QUEREVALU PERCY ROLANDO,MADERA,N/P,20,365,52.4,1
PT-10145-PM,2019-I,MADRE AUXILIADORA,ROSA ESTEBAN PALMA S.A.C.,MADERA,N/P,20.549999239999998,540,85.28,3
CO-42361-PM,2019-I,MALVI MARIA,VITUMAR S.R.L.,MADERA,N/P,18,454,96.99,1
CO-6337-PM,2019-I,OLLEROS,PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,24.54000092,510,199.82,5
PL-2256-CM,2019-I,NIÑO DEL MILAGRO,FIESTAS FIESTAS JOSE SANTOS,MADERA,CAJ/HIE,13.80000019,190,34.2,1
CO-15126-PM,2019-I,GENESIS,ROSA ESTEBAN PALMA S.A.C.,MADERA,CAJ/HIE,15.46000004,238,105.62,3
PL-14044-CM,2019-I,ZAIDA ISABEL,BERNAL HUAMANCHUMO ZAIDA XIOMARA,MADERA,CAJ/HIE,12.03999996,190,35,1
CE-0229-PM,2019-I,SIMY 4,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,36.61000061,896,372.6,20
CE-19889-CM,2019-I,HILDA,DEL CASTILLO CA?RI ERLIS JOHNSON ;LOPEZ CORDOVA MARIA MAGDALENA,MADERA,N/P,22,NA,110,1
CE-6504-PM,2019-I,ANDREA,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,40.47999954,700,344.14,27
CE-2509-PM,2019-I,RIBAR III,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,43,720,411.16,27
PL-29176-PM,2019-I,DON SEFERINO,CORPORACION GAT S.A.C.,MADERA,N/P,20,455,83.47,4
CO-15725-PM,2019-I,RODAS,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,RSW,42.40000153,1183,422.03,23
PS-0612-PM,2019-I,ALEJANDRIA II,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,36.59999847,402.67,379.03,20
PL-2749-CM,2019-I,SABINA BEATRIZ 2,PANTA SANCHEZ JHONATAN BERNARDO ;PANTA SANCHEZ LARRY ALBERTO,MADERA,CAJ/HIE,14.5,112,45.59,2
CE-28645-PM,2019-I,ALEJANDRIA III,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,45.74000168,1060,450,20
PL-17158-BM,2019-I,PERCY ROGELIO,EMPRESA JEHOVA PODEROSO GIGANTE E.I.R.L.,MADERA,CAJ/HIE,14.94999981,210,33.1,1
PL-17785-CM,2019-I,AGUSTINA 1,AGUILAR LAZARO CARLOS JOSE ;AGUILAR LAZARO LUIS JOSE,MADERA,CAJ/HIE,14.38000011,240,50.01,1
PL-3654-CM,2019-I,MI AGUSTIN,EMPRESA PESQUERA CUSTODIO S.C.R.L,MADERA,CAJ/HIE,11.57999992,100,34.92,1
CO-10833-PM,2019-I,GALILEO,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,34.59999847,567,222,27
CO-42092-CM,2019-I,STEPHANO,INVERSIONES ISLAS DEL CARIBE S.A.C.,MADERA,N/P,20,150,56.13,1
CO-18517-PM,2019-I,SIMON,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,50.52000046,1300,433.84,20
SY-0267-CM,2019-I,MI LEONILA,BARRETO PAREDES FERNANDO RICHARD,MADERA,N/P,16.5,280,90,5
PT-3818-CM,2019-I,JULIA NORA,CORPORACION PESQUERA JR S.A.C.,MADERA,CAJ/HIE,18.89999962,1800,102.87,1
